Type,Label,Internal ID,Compact Display,Summary,Chronological Position,Narrative Position,Color,Parent,Ongoing,Start Date,Latest Start Date,Earliest End Date,End Date,Duration,Child Range,Tags,Blocked by,Blocks,Constraints,Links,Image (Links only),Participant,Participant (Compact display),Observer,Observer (Compact display),Story Arc,Story Arc (Compact display),Location,Location (Compact display),Relates to,Relates to (Compact display)
"Event","Dorothy and the Lion are captured","EV32","Dorothy and the Lion are captu",,8,,"Red",,False,1900-07-26,,,1900-07-26,"1 day",,"","","","","",,"Dorothy
Cowardly Lion","Dorothy
Cowardly Lion","","","Good vs Evil","Good vs Evil","","","",""
"Event","Dorothy defeats the Wicked Witch","EV16","Dorothy defeats the Wicked Wit","Dorothy spills water on the Witch, which destoys her. The winged monkeys carry the companions back to the Emerald City.",9,,"Red",,False,1900-07-27,,,1900-07-27,"0 seconds",,"","","","","",,"Dorothy
The Wicked Witch","Dorothy
The Wicked Witch","","","Good vs Evil","Good vs Evil","","","",""
"Event","The Wizard is revealed to be a fraud","EV17","The Wizard is revealed to be a","Toto pulls back the Wizard’s curtain, revealing he’s an ordinary man. However, he explains the companions each already have what they desired all along.",10,,"Teal",,False,1900-07-28,,,1900-07-27,"1 hour",,"","","","","",,"Dorothy
Toto
Scarecrow
Tin Man
Cowardly Lion
The Wizard","Dorothy
Toto
Scarecrow
Tin Man
Cowardly Lion
The Wizard","","","Journey Home
Good vs Evil","Journey Home
Good vs Evil","","","",""
"Event","Dorothy returns home to Kansas with Toto","EV18","Dorothy returns home to Kansas",,11,,"Green",,False,1900-07-29,,,1900-07-29,"1 day",,"","","","","",,"Dorothy
Toto","Dorothy
Toto","","","Journey Home","Journey Home","","","",""
"Character","Dorothy","PER1","Dorothy",,,,"Purple","The Companions",False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","Toto","PER2","Toto",,,,"Indigo","The Companions",False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","Scarecrow","PER7","Scarecrow",,,,"Blue","The Companions",False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","Tin Man","PER8","Tin Man",,,,"Blue","The Companions",False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","Cowardly Lion","PER9","Cowardly Lion",,,,"Blue","The Companions",False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","The Good Witch","PER4","The Good Witch",,,,"Blue",,False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","The Wicked Witch","PER6","The Wicked Witch",,,,"Orange",,False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character","The Wizard","PER10","The Wizard",,,,"Teal",,False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Character Group","The Companions","CG2","The Companions",,,,"Teal",,False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Story Arc","Journey Home","ARC1","Journey Home",,,,"Red",,False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
"Story Arc","Good vs Evil","ARC2","Good vs Evil",,,,"Red",,False,,,,,"0 seconds",,"","","","","",,"","","","","","","","","",""
